n,r,m
(:Entity {name: ඇපකරය}),[:ස්වභාවය],(:Entity {name: ලිඛිත ගිවිසුමක් විය යුතුයි})
(:Entity {name: ඇපකරය}),[:අවශ්‍යතාව],(:Entity {name: නැතිවූ බිල්පතක් වෙනුවට ගෙවීම ලබා ගැනීමට})
(:Entity {name: ඇපකරය}),[:පොරොන්දු_වීම],(:Entity {name: නැතිවූ බිල්පත නිසා ඇති විය හැකි ඕනෑම පාඩුවක් ආපසු ගෙවීම})
(:Entity {name: නීතිමය ක්‍රියාමාර්ග}),[:හැකියාව],(:Entity {name: බිල්පත අවනත වීමෙන් පසු})
(:Entity {name: අත්සන් කළ පාර්ශ්වකරුවන්}),[:උපකල්පනය],(:Entity {name: බිල්පතේ කොන්දේසි පිළිගත් බව})
(:Entity {name: වටිනාකම් ලැබීම}),[:ඔප්පු_කිරීම],(:Entity {name: අවශ්‍ය නැත})
(:Entity {name: පිළිගන්නාට එරෙහිව}),[:සීමා_කාලය],(:Entity {name: බිල්පත කල් ඉකුත් වන දිනයේ සිට වසර 3ක්})
(:Entity {name: අඳින්නා සහ අනුමත කරන්නන්ට එරෙහිව}),[:සීමා_කාලය],(:Entity {name: අවනත වීමේ දිනයේ සිට වසර 3ක්})
(:Entity {name: නඩුවක් ආරක්ෂා කර ගැනීම}),[:ක්‍රමය],(:Entity {name: බිල්පතේ වලංගුභාවයට විරුද්ධ වීම})
(:Entity {name: නඩුවක් ආරක්ෂා කර ගැනීම}),[:ක්‍රමය],(:Entity {name: වටිනාකමක් නොලැබීම})
(:Entity {name: නඩුවක් ආරක්ෂා කර ගැනීම}),[:ක්‍රමය],(:Entity {name: බිල්පතේ කොන්දේසි ඉටු නොවීම})
(:Entity {name: තහනම් නියෝගය}),[:ලබා_දීම],(:Entity {name: බිල්පත ව්‍යාජ හෝ වංචනික බව පැහැදිලිව ඔප්පු කළ හැකි නම්})
(:Entity {name: අධිකරණය}),[:හැකියාව],(:Entity {name: අසාධාරණ කොන්දේසි ඉවත් කළ හැකිය})
(:Entity {name: අධිකරණය}),[:මැලි_වන්නේ],(:Entity {name: නීතියානුකූල හිමිකරුවෙකුගේ අයිතිවාසිකම්වලට බාධා කිරීමට})
(:Entity {name: අධිකරණය}),[:බලය],(:Entity {name: ගිවිසුමේ කොන්දේසි උල්ලංඝනය වී ඇත්නම් ගිවිසුම බලාත්මක කිරීම})
(:Entity {name: අධිකරණය}),[:බලය],(:Entity {name: ගෙවීම් කාලසටහන වෙනස් කිරීම})
(:Entity {name: අධිකරණය}),[:බලය],(:Entity {name: ගිවිසුම අවලංගු කිරීම})
(:Entity {name: අධිකරණය}),[:බලය],"(:Entity {name: ගෙවීම් කාලසටහන වෙනස් කිරීමට, වාරික මුදල අඩු කිරීමට හෝ ගෙවීම් කාලය දීර්ඝ කිරීමට})"
(:Entity {name: අධිකරණය}),[:බලය],(:Entity {name: යුක්ති සහගත සහ සාධාරණ යැයි සලකන විට ගිවිසුමේ කොන්දේසි වෙනස් කිරීමට})
(:Entity {name: වාණිජ ගනුදෙනුව}),[:ක්‍රියාවලිය],(:Entity {name: විකුණුම්කරු භාණ්ඩ සපයා බිල්පතක් ඇදීම})
(:Entity {name: වාණිජ ගනුදෙනුව}),[:ක්‍රියාවලිය],(:Entity {name: ගැනුම්කරු බිල්පත පිළිගැනීම})
(:Entity {name: වාණිජ ගනුදෙනුව}),[:ක්‍රියාවලිය],(:Entity {name: විකුණුම්කරු බිල්පත බැංකුවකින් වට්ටම් කර ගැනීම})
(:Entity {name: බිල්පත්}),[:ක්‍රමය],(:Entity {name: බිල්පත බැංකුවට අනුමත කර ලබා දීම})
(:Entity {name: බිල්පත්}),[:අවශ්‍යතාව],(:Entity {name: මුද්දර බදු ගෙවිය යුතුයි})
(:Entity {name: බිල්පත්}),[:භාවිතය],(:Entity {name: වාණිජ ණය ලබා ගැනීමට හෝ ආරක්ෂාවක් ලෙස})
(:Entity {name: බිල්පත්}),[:භාවිතය],(:Entity {name: ඇපයක් ලෙස බැංකු ණය සඳහා})
(:Entity {name: බිල්පත වට්ටම් කිරීම}),[:අර්ථ_දැක්වීම],(:Entity {name: කල් ඉකුත් වීමට පෙර බිල්පත බැංකුවකට විකිණීම})
(:Entity {name: වට්ටම් කිරීම}),[:ප්‍රතිලාභය],(:Entity {name: ව්‍යාපාරික මුදල් ප්‍රවාහය වැඩි දියුණු කරයි})
(:Entity {name: ඉලෙක්ට්‍රොනික බිල්පත්}),[:නීතිමය_තත්ත්වය],(:Entity {name: විනිමය බිල්පත් පනත තවමත් භෞතික ලිපි ලේඛන අවශ්‍ය කරයි})
(:Entity {name: ඉලෙක්ට්‍රොනික ගනුදෙනු පනත}),[:පිළිගැනීම],(:Entity {name: ඩිජිටල් අත්සන් පිළිගැනේ})
(:Entity {name: ඉලෙක්ට්‍රොනික ගනුදෙනු පනත}),[:සංශෝධනය_කිරීම],(:Entity {name: ඩිජිටල් අත්සන් පිළිගැනීම})
(:Entity {name: ඉලෙක්ට්‍රොනික චෙක්පත්}),[:තත්ත්වය],(:Entity {name: වර්ධනය වෙමින් පවතී})
(:Entity {name: බිල්පත සහ ප්‍රොමිසරි නෝට්ටුව}),[:භාවිතය],(:Entity {name: එකම ගනුදෙනුවක් සඳහා භාවිත කළ හැකිය})
(:Entity {name: ද්විත්ව ආරක්ෂාව}),[:ක්‍රමය],(:Entity {name: විකුණුම්කරු බිල්පතක් ඇදීම සහ ගැනුම්කරු ප්‍රොමිසරි නෝට්ටුවක් නිකුත් කිරීම})
(:Entity {name: සීමාව}),[:නීතිය],(:Entity {name: එකම ණය සඳහා දෙවරක් ගෙවීමට බල කළ නොහැකිය})
(:Entity {name: මුද්දර බදු}),[:ගණනය],(:Entity {name: බිල්පතේ මුදල සහ කාලය අනුව})
(:Entity {name: නිසි මුද්දර නොමැති බිල්පත}),[:ප්‍රතිඵලය],(:Entity {name: අධිකරණයේ සාක්ෂියක් ලෙස භාවිත කළ නොහැක})
(:Entity {name: චෙක්පතක් අවනත කිරීම}),[:අපරාධ_වන්නේ],(:Entity {name: ප්‍රමාණවත් මුදල් නොමැතිකම නිසා අවනත වූහොත්})
(:Entity {name: සමාගමක් වෙනුවෙන් බිල්පත}),[:සඳහන්_කළ_යුතුයි],(:Entity {name: වෙනුවෙන් සහ නමින්})
(:Entity {name: සමාගමක් වෙනුවෙන් බිල්පත}),[:අත්සන්_කිරීම],(:Entity {name: අධ්‍යක්ෂවරුන් හෝ බලයලත් නිලධාරීන්})
(:Entity {name: නිසි ලෙස අත්සන් නොකළහොත්}),[:ප්‍රතිඵලය],(:Entity {name: පුද්ගලික වගකීමට ලක් විය හැකිය})
(:Entity {name: සමාගම් පනත}),[:කෙටි_නම],"(:Entity {name: සමාගම් පනත, අංක 07, 2007})"
(:Entity {name: සමාගම් පනත}),[:ක්‍රියාත්මක_කිරීම],(:Entity {name: අමාත්‍යවරයා විසින් නියම කරනු ලබන දිනයේ සිට})
(:Entity {name: සමාගම් පනත}),[:ක්‍රියාත්මක_කිරීම],(:Entity {name: ගැසට් පත්‍රයේ නිවේදනයක් මගින්})
(:Entity {name: සමාගම් පනත}),[:අර්ථ_දැක්වීම],(:Entity {name: උසාවිය විසින් පනතේ අරමුණු සහ අභිප්‍රාය සැලකිල්ලට ගනු ලැබේ})
(:Entity {name: සමාගම් පනත}),[:අර්ථ_දැක්වීම],(:Entity {name: සාමාජිකයන්ගේ සහ ණයහිමියන්ගේ අවශ්‍යතා ආරක්ෂා කිරීම සඳහා})
(:Entity {name: සමාගම}),[:කාර්යභාරය],(:Entity {name: මාරුව අනුමත කර කොටස් ප්‍රමාණපත්‍රය නව හිමිකරුට නිකුත් කිරීම})
